Sites to search,Reliability,Oped?,Pay?,Notes,timestamp,score,Label,name,AdditionalData,attribute,value
*.rtvslo.si/radio-si*,State Media Monitor,N,N,,,,,,,,
*.sbs.com.au/*,State Media Monitor,N,N,,,,,,,,
*.science.org/*,Perennial,Y,Y,,,,,,,,
*.sciencebasedmedicine.org/*,Perennial,Y*,N,Some member-only posts,0x00061a153402a259,1.0,,_include_,,original_url,*.sciencebasedmedicine.org
*.scientificamerican.com/,Perennial,Y*,Y,,0x00061a1534186f2d,1.0,,_include_,,original_url,https://*.scientificamerican.com/
*.scotusblog.com/*,Perennial,Y*,N,,0x00061a15342b0791,1.0,,_include_,,original_url,scotusblog.com
*.sfchronicle.com/*,,Y,Y,,,,,,,,
*.smh.com.au/*,Perennial,Y*,Y,,0x00061a153481026c,1.0,,_include_,,original_url,smh.com.au
*.snopes.com/*,Perennial,N,N,,0x00061a14b27ea83e,1.0,,_include_,,original_url,Snopes.com
*.spiegel.de/international/*,Perennial,Y,N,,0x00061a15346cf2e8,1.0,,_include_,,original_url,spiegel.de
*.splcenter.org/*,Perennial,N?,N,,,,,,,,
*.swissinfo.ch/eng/*,State Media Monitor,Y / Y,N,,,,,,,,
*.telegraph.co.uk/*,Perennial,Y*,Y,,0x00061a14de9614d2,1.0,,_include_,,original_url,telegraph.co.uk
*.texastribune.org/*,INN,N,N,,,,,,,,
*.theage.com.au/*,Perennial,Y*,Y,,0x00061a14bd461414,1.0,,_include_,,original_url,theage.com.au
*.theatlantic.com/*,Perennial,Y,Y,,0x00061a149afa13fb,1.0,,_include_,,original_url,*.theatlantic.com
*.theaustralian.com.au/*,Perennial,Y*,Y,Murdoch,0x00061a14ddab6cc4,1.0,,_include_,,original_url,*.theaustralian.com.au
*.theconversation.com/*,Perennial,Y*?,N,,0x00061a14de804781,1.0,,_include_,,original_url,theconversation.com
*.thecut.com/*,Perennial,Y*,Y,,,,,,,,
*.thediplomat.com/*,Perennial,Y*,Y,,0x00061a14defe74c9,1.0,,_include_,,original_url,thediplomat.com
*.theglobeandmail.com/*,Perennial,Y,Y,,0x00061a14f4354ee7,1.0,,_include_,,original_url,theglobeandmail.com
*.theguardian.com/*,Perennial,Y / Y,N,,0x00061a149afa1842,1.0,,_include_,,original_url,theguardian.com
*.thehill.com/*,Perennial,Y / Y,N,,0x00061a149afa1c26,1.0,,_include_,,original_url,thehill.com
*.thehindu.com/*,Perennial,Y,Y,Still able to criticize BJP?,0x00061a14f46f54d8,1.0,,_include_,,original_url,thehindu.com
*.theintercept.com/*,Perennial,N,N,,0x00061a149afa14ca,1.0,,_include_,,original_url,*.theintercept.com
*.thelancet.com/*,Perennial,?,Y,,,,,,,,
*.themarysue.com/*,Perennial,Y*,N,,0x00061a15323561bb,1.0,,_include_,,original_url,*.themarysue.com
*.thenation.com/*,Perennial,Y*,Y,,0x00061a149afa1614,1.0,,_include_,,original_url,thenation.com
*.thepinknews.com/*,Perennial,Y*,N,,0x00061a15333f089e,1.0,,_include_,,original_url,thepinknews.com
*.theregister.com/*,Perennial,Y / Y,N,,0x00061a1533c0f876,1.0,,_include_,,original_url,*.theregister.com
*.thetimes.co.uk/*,Perennial,Y,Y?,,,,,,,,
*.theverge.com/*,Perennial,N,N,,0x00061a1534e83a82,1.0,,_include_,,original_url,theverge.com
*.thewire.in/*,Perennial,Y*,N,Still able to criticize BJP?,0x00061a1535384433,1.0,,_include_,,original_url,thewire.in
*.time.com/*,Perennial,Y*,Y,,0x00061a149afa19ec,1.0,,_include_,,original_url,Time.com
*.torrentfreak.com/*,Perennial,Y*,N,,,,,,,,
*.towcenter.columbia.edu/*,,N,N,Is there indexable content here? Or mostly links to other sites?,,,,,,,
*.tvnz.co.nz/*,State Media Monitor,N,N,,,,,,,,
*.usatoday.com/*,Perennial,Y,Y,,0x00061a149afa1a7d,1.0,,_include_,,original_url,usatoday.com
*.usnews.com/*,Perennial,Y / Y,N,,0x00061a1534950b92,1.0,,_include_,,original_url,usnews.com
*.vanityfair.com/*,Perennial,N,Y,,0x00061a1534ab8123,1.0,,_include_,,original_url,vanityfair.com
*.variety.com/*,Perennial,Y / Y,N,,0x00061a1534be4d1b,1.0,,_include_,,original_url,variety.com
*.venturebeat.com/*,Perennial,N,Y,,0x00061a1534d2b310,1.0,,_include_,,original_url,venturebeat.com
*.voanews.com/*,Perennial,N,N,,0x00061a15351103bb,1.0,,_include_,,original_url,voanews.com
*.vogue.com/*,Perennial,Y*,Y,,0x00061a1534fc98da,1.0,,_include_,,original_url,vogue.com
*.vox.com/*,Perennial,Y / Y,N,,0x00061a149afa1654,1.0,,_include_,,original_url,Vox.com
*.vulture.com/*,Perennial,N,Y,,,,,,,,
*.wabe.org/*,INN,N,N,,,,,,,,
*.washingtonpost.com/*,Perennial,Y,Y,,0x00061a149afa1a2c,1.0,,_include_,,original_url,washingtonpost.com
*.wfae.org/*,INN,Y / Y,N,,,,,,,,
*.whyy.org/*,INN,Y*,N,,,,,,,,
*.wired.com/*,Perennial,Y*,Y,,0x00061a15354f6780,1.0,,_include_,,original_url,wired.com
*.wnyc.org/*,INN,N?,N,,,,,,,,
*.wsj.com/*,Perennial,Y*,Y,,0x00061a149afa1c64,1.0,,_include_,,original_url,WSJ.com
*.wyborcza.pl/*,Perennial,Y*,Y,Seems sensationalist,0x00061a14f40e9b0e,1.0,,_include_,,original_url,wyborcza.pl
*.yle.fi/news/*,State Media Monitor,N,N,,,,,,,,
https://probe.ph/*,IFCN,N,N,,,,,,,,
https://www.dubawa.org/*,IFCN,N,N,,,,,,,,
https://www.lrt.lt/en/*,IFCN,N,N,,,,,,,,
https://www.fatabyyano.net/en/*,IFCN,N,N,,,,,,,,
https://apnews.com/*fact-check*,Perennial,N,N,,,,,,,,
http://www.vishvasnews.com/*fact-check*,IFCN,N,N,,,,,,,,
https://211check.org/*,IFCN,N,N,,,,,,,,
http://annielab.org/*,IFCN,N,N,,,,,,,,
https://www.aap.com.au/factcheck*,IFCN,N,N,,,,,,,,
http://www.boomlive.in/fact-check*,IFCN,N,N,,,,,,,,
http://checkyourfact.com/*,IFCN,N,N,,,,,,,,
https://www.dw.com/*fact-check*,Perennial,N,N,,,,,,,,
https://dfrac.org/*fact-check*,IFCN,N,N,,,,,,,,
https://www.wisconsinwatch.org/*,IFCN,N,N,,,,,,,,
https://verafiles.org/*fact-check*,IFCN,N,N,,,,,,,,
https://www.usatoday.com/*factcheck*,Perennial,N,N,,,,,,,,
https://www.washingtonpost.com/*fact-check/*,Perennial,N,N,,,,,,,,
http://www.thejournal.ie/factcheck*,IFCN,N,N,,,,,,,,
https://www.thequint.com/*webqoof*,IFCN,N,N,,,,,,,,
https://tsmliberia.com/*,IFCN,N,N,,,,,,,,
https://www.thecanadianpressnews.ca/fact-checking*,IFCN,N,N,,,,,,,,
https://thedispatch.com/*fact-check*,IFCN,N,N,,,,,,,,
https://www.thip.media/*fact-check*,IFCN,N,N,,,,,,,,
https://www.indiatoday.in/fact-check*,IFCN,N,N,,,,,,,,
https://www.sochfactcheck.com/*,IFCN,N,N,,,,,,,,
https://digiteye.in/*,IFCN,N,N,,,,,,,,
https://www.snopes.com/*,Perennial,N,N,,,,,,,,
https://science.feedback.org/*,IFCN,N,N,,,,,,,,
*.reuters.com/fact-check*,Perennial,N,N,,,,,,,,
https://www.rmit.edu.au/*factlab*,IFCN,N,N,,,,,,,,
https://www.rmit.edu.au/*crosscheck*,IFCN,N,N,,,,,,,,
http://www.abc.net.au/*factcheck/*,Perennial,N,N,,,,,,,,
https://pressone.ph/fact-check*,IFCN,N,N,,,,,,,,
https://www.ptinews.com/factcheck*,IFCN,N,N,,,,,,,,
http://www.politifact.com/*,Perennial,N,N,,,,,,,,
https://pesacheck.org/*,IFCN,N,N,,,,,,,,
https://pa.media/*fact-check*,IFCN,N,N,,,,,,,,
https://newsmeter.in/fact-check*,IFCN,N,N,,,,,,,,
http://www.newsmobile.in/*fact-check*,Perennial,N,N,,,,,,,,
https://mythdetector.ge/*,IFCN,N,N,,,,,,,,
https://www.mindanews.com/*fact-check*,IFCN,N,N,,,,,,,,
https://www.poynter.org/mediawise/*,IFCN,N,N,,,,,,,,
https://www.logicallyfacts.com/en/*,IFCN,N,N,,,,,,,,
https://leadstories.com/*,IFCN,N,N,,,,,,,,
https://nordishub.eu/fact-checking/*,IFCN,N,N,,,,,,,,
https://fullfact.org/*,IFCN,N,N,,,,,,,,
https://firstcheck.in/*,IFCN,N,N,,,,,,,,
https://theferret.scot/category/fact-check/*,IFCN,N,N,,,,,,,,
https://factnameh.com/en/*,IFCN,N,N,,,,,,,,
https://ghanafact.com/*,IFCN,N,N,,,,,,,,
https://facta.news/*,IFCN,N,N,,,,,,,,
https://factcrescendo.com/*,IFCN,N,N,,,,,,,,
http://factcheck.ge/en*,IFCN,N,N,,,,,,,,
http://factcheck.org/*,IFCN,N,N,,,,,,,,
http://factcheckni.org/*,IFCN,N,N,,,,,,,,
https://factcheckzw.org/*,IFCN,N,N,,,,,,,,
https://www.fact-checkghana.com/*,IFCN,N,N,,,,,,,,
https://factly.in/*,IFCN,N,N,,,,,,,,
www.digitaltrends.com/*,Perennial,Y,N,,,,,,,,
*.newsfromthestates.com/*,,Y,N,,,,,,,,
